
Lmod is automatically replacing "cray-mpich/9.0.1" with "cray-mpich-abi/9.0.1".

Running forecast for file: python CubicGalileonForecasts.py ./ini_files/config_run_ell1500_k0p2.yaml
Number of models loaded: 50 from: /global/homes/c/carolazn/CubicGalileonEmu/CubicGalileonEmu/model/
4.182345109176885e-05
Horndeski functions initialized.
Reading cosmo file to get the parameters of the data vector...
(265275, 10)
(705, 705)
(300,)
ex_inds= [13, 14, 15, 16, 17, 18, 19, 33, 34, 35, 36, 37, 38, 39, 53, 54, 55, 56, 57, 58, 59, 73, 74, 75, 76, 77, 78, 79, 93, 94, 95, 96, 97, 98, 99, 113, 114, 115, 116, 117, 118, 119, 133, 134, 135, 136, 137, 138, 139, 153, 154, 155, 156, 157, 158, 159, 173, 174, 175, 176, 177, 178, 179, 193, 194, 195, 196, 197, 198, 199, 213, 214, 215, 216, 217, 218, 219, 233, 234, 235, 236, 237, 238, 239, 253, 254, 255, 256, 257, 258, 259, 273, 274, 275, 276, 277, 278, 279, 293, 294, 295, 296, 297, 298, 299, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 531, 532, 533, 534, 535, 536, 537, 538, 539]
Running MCMC...
Resuming nautilus run...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 77     | 1        | 4        | 133632   | 0.1169 | 10501 | -63.32   
Computing | 77     | 1        | 4        | 133632   | 0.1169 | 10501 | -63.32   
Sampling  | 77     | 1        | 4        | 133888   | 0.1073 | 10782 | -63.32   
Computing | 77     | 1        | 4        | 133888   | 0.1073 | 10782 | -63.32   
Sampling  | 77     | 1        | 4        | 134144   | 0.0997 | 11019 | -63.32   
Computing | 77     | 1        | 4        | 134144   | 0.0997 | 11019 | -63.32   
Bounding  | 77     | 1        | 4        | 134400   | 0.0926 | 11230 | -63.32   
Sampling  | 78     | 1        | 4        | 134400   | 0.0511 | 10439 | -63.42   
Computing | 78     | 1        | 4        | 134400   | 0.0511 | 10439 | -63.42   
Sampling  | 78     | 1        | 4        | 134656   | 0.0815 | 11497 | -63.32   
Computing | 78     | 1        | 4        | 134656   | 0.0815 | 11497 | -63.32   
Sampling  | 78     | 1        | 4        | 134912   | 0.0732 | 11687 | -63.32   
Computing | 78     | 1        | 4        | 134912   | 0.0732 | 11687 | -63.32   
Sampling  | 78     | 1        | 4        | 135168   | 0.0665 | 11832 | -63.32   
Computing | 78     | 1        | 4        | 135168   | 0.0665 | 11832 | -63.32   
Sampling  | 78     | 1        | 4        | 135424   | 0.0612 | 11942 | -63.32   
Sampling  | 81     | 1        | 4        | 140544   | N/A    | 1     | -3186350.
Computing | 81     | 1        | 4        | 140544   | N/A    | 1     | -3186350.
Sampling  | 81     | 1        | 4        | 140800   | N/A    | 1     | -2198535.
Computing | 81     | 1        | 4        | 140800   | N/A    | 1     | -2198535.
Sampling  | 81     | 1        | 4        | 141056   | N/A    | 1     | -1757265.
Computing | 81     | 1        | 4        | 141056   | N/A    | 1     | -1757265.
Sampling  | 81     | 1        | 4        | 141312   | N/A    | 1     | -1325801.
Computing | 81     | 1        | 4        | 141312   | N/A    | 1     | -1325801.
Sampling  | 81     | 1        | 4        | 141568   | N/A    | 1     | -791826.3
Computing | 81     | 1        | 4        | 141568   | N/A    | 1     | -791826.3
Sampling  | 81     | 1        | 4        | 141824   | N/A    | 1     | -725993.8
Computing | 81     | 1        | 4        | 141824   | N/A    | 1     | -725993.8
Sampling  | 81     | 1        | 4        | 142080   | N/A    | 1     | -563090.0
Computing | 81     | 1        | 4        | 142080   | N/A    | 1     | -563090.0
Sampling  | 81     | 1        | 4        | 142336   | N/A    | 1     | -267121.5
Computing | 81     | 1        | 4        | 142336   | N/A    | 1     | -267121.5
Sampling  | 81     | 1        | 4        | 142592   | N/A    | 1     | -267121.5
Computing | 81     | 1        | 4        | 142592   | N/A    | 1     | -267121.5
Sampling  | 81     | 1        | 4        | 142848   | N/A    | 1     | -223724.2
Computing | 81     | 1        | 4        | 142848   | N/A    | 1     | -223724.2
Sampling  | 81     | 1        | 4        | 143104   | N/A    | 1     | -192956.3
Computing | 81     | 1        | 4        | 143104   | N/A    | 1     | -192956.3
Sampling  | 81     | 1        | 4        | 143360   | N/A    | 1     | -133198.6
Computing | 81     | 1        | 4        | 143360   | N/A    | 1     | -133198.6
Sampling  | 81     | 1        | 4        | 143616   | N/A    | 1     | -114252.7
Computing | 81     | 1        | 4        | 143616   | N/A    | 1     | -114252.7
Sampling  | 81     | 1        | 4        | 143872   | N/A    | 1     | -88727.40
Computing | 81     | 1        | 4        | 143872   | N/A    | 1     | -88727.40
Sampling  | 81     | 1        | 4        | 144128   | N/A    | 1     | -65530.10
Computing | 81     | 1        | 4        | 144128   | N/A    | 1     | -65530.10
Sampling  | 81     | 1        | 4        | 144384   | N/A    | 1     | -58326.29
Computing | 81     | 1        | 4        | 144384   | N/A    | 1     | -58326.29
Sampling  | 81     | 1        | 4        | 144640   | N/A    | 1     | -45758.97
Computing | 81     | 1        | 4        | 144640   | N/A    | 1     | -45758.97
Sampling  | 81     | 1        | 4        | 144896   | N/A    | 1     | -35435.08
Computing | 81     | 1        | 4        | 144896   | N/A    | 1     | -35435.08
Sampling  | 81     | 1        | 4        | 145152   | N/A    | 1     | -29057.88
Computing | 81     | 1        | 4        | 145152   | N/A    | 1     | -29057.88
Sampling  | 81     | 1        | 4        | 145408   | N/A    | 1     | -26099.09
Computing | 81     | 1        | 4        | 145408   | N/A    | 1     | -26099.09
Sampling  | 81     | 1        | 4        | 145664   | N/A    | 1     | -21797.65
Computing | 81     | 1        | 4        | 145664   | N/A    | 1     | -21797.65
Sampling  | 81     | 1        | 4        | 145920   | N/A    | 1     | -15449.02
Computing | 81     | 1        | 4        | 145920   | N/A    | 1     | -15449.02
Sampling  | 81     | 1        | 4        | 146176   | N/A    | 1     | -14817.30
Computing | 81     | 1        | 4        | 146176   | N/A    | 1     | -14817.30
Sampling  | 81     | 1        | 4        | 146432   | N/A    | 1     | -12129.05
Computing | 81     | 1        | 4        | 146432   | N/A    | 1     | -12129.05
Sampling  | 81     | 1        | 4        | 146688   | N/A    | 1     | -9414.41 
Computing | 81     | 1        | 4        | 146688   | N/A    | 1     | -9414.41 
Sampling  | 81     | 1        | 4        | 146944   | N/A    | 1     | -7220.79 
Computing | 81     | 1        | 4        | 146944   | N/A    | 1     | -7220.79 
Sampling  | 81     | 1        | 4        | 147200   | N/A    | 1     | -5894.86 
Computing | 81     | 1        | 4        | 147200   | N/A    | 1     | -5894.86 
Sampling  | 81     | 1        | 4        | 147456   | N/A    | 1     | -5303.62 
Computing | 81     | 1        | 4        | 147456   | N/A    | 1     | -5303.62 
Sampling  | 81     | 1        | 4        | 147712   | N/A    | 1     | -3580.30 
Computing | 81     | 1        | 4        | 147712   | N/A    | 1     | -3580.30 
Sampling  | 81     | 1        | 4        | 147968   | N/A    | 1     | -3038.57 
Computing | 81     | 1        | 4        | 147968   | N/A    | 1     | -3038.57 
Sampling  | 81     | 1        | 4        | 148224   | N/A    | 1     | -2543.10 
Computing | 81     | 1        | 4        | 148224   | N/A    | 1     | -2543.10 
Sampling  | 81     | 1        | 4        | 148480   | N/A    | 1     | -2059.70 
Computing | 81     | 1        | 4        | 148480   | N/A    | 1     | -2059.70 
Sampling  | 81     | 1        | 4        | 148736   | N/A    | 1     | -1842.52 
Computing | 81     | 1        | 4        | 148736   | N/A    | 1     | -1842.52 
Sampling  | 81     | 1        | 4        | 148992   | N/A    | 1     | -1412.24 
Computing | 81     | 1        | 4        | 148992   | N/A    | 1     | -1412.24 
Sampling  | 81     | 1        | 4        | 149248   | N/A    | 1     | -1138.85 
Computing | 81     | 1        | 4        | 149248   | N/A    | 1     | -1138.85 
Sampling  | 81     | 1        | 4        | 149504   | N/A    | 1     | -963.24  
Computing | 81     | 1        | 4        | 149504   | N/A    | 1     | -963.24  
Sampling  | 81     | 1        | 4        | 149760   | N/A    | 1     | -706.99  
Computing | 81     | 1        | 4        | 149760   | N/A    | 1     | -706.99  
Sampling  | 81     | 1        | 4        | 150016   | N/A    | 1     | -706.99  
Computing | 81     | 1        | 4        | 150016   | N/A    | 1     | -706.99  
Sampling  | 81     | 1        | 4        | 150272   | N/A    | 1     | -621.69  
Computing | 81     | 1        | 4        | 150272   | N/A    | 1     | -621.69  
Sampling  | 81     | 1        | 4        | 150528   | N/A    | 1     | -473.28  
Computing | 81     | 1        | 4        | 150528   | N/A    | 1     | -473.28  
Sampling  | 81     | 1        | 4        | 150784   | N/A    | 1     | -419.19  
Computing | 81     | 1        | 4        | 150784   | N/A    | 1     | -419.19  
Sampling  | 81     | 1        | 4        | 151040   | N/A    | 1     | -326.14  
Computing | 81     | 1        | 4        | 151040   | N/A    | 1     | -326.14  
Sampling  | 81     | 1        | 4        | 151296   | N/A    | 1     | -298.81  
Computing | 81     | 1        | 4        | 151296   | N/A    | 1     | -298.81  
Sampling  | 81     | 1        | 4        | 151552   | N/A    | 1     | -228.73  
Computing | 81     | 1        | 4        | 151552   | N/A    | 1     | -228.73  
Sampling  | 81     | 1        | 4        | 151808   | N/A    | 1     | -216.35  
Computing | 81     | 1        | 4        | 151808   | N/A    | 1     | -216.35  
Sampling  | 81     | 1        | 4        | 152064   | N/A    | 1     | -199.58  
Computing | 81     | 1        | 4        | 152064   | N/A    | 1     | -199.58  
Sampling  | 81     | 1        | 4        | 152320   | N/A    | 1     | -187.64  
Computing | 81     | 1        | 4        | 152320   | N/A    | 1     | -187.64  
Sampling  | 81     | 1        | 4        | 152576   | N/A    | 1     | -158.25  
Computing | 81     | 1        | 4        | 152576   | N/A    | 1     | -158.25  
Sampling  | 81     | 1        | 4        | 152832   | N/A    | 1     | -116.50  
Computing | 81     | 1        | 4        | 152832   | N/A    | 1     | -116.50  
Sampling  | 81     | 1        | 4        | 153088   | N/A    | 1     | -116.49  
Computing | 81     | 1        | 4        | 153088   | N/A    | 1     | -116.49  
Sampling  | 81     | 1        | 4        | 153344   | N/A    | 1     | -116.49  
Computing | 81     | 1        | 4        | 153344   | N/A    | 1     | -116.49  
Sampling  | 81     | 1        | 4        | 153600   | N/A    | 2     | -106.68  
Computing | 81     | 1        | 4        | 153600   | N/A    | 2     | -106.68  
Sampling  | 81     | 1        | 4        | 153856   | N/A    | 2     | -99.63   
Computing | 81     | 1        | 4        | 153856   | N/A    | 2     | -99.63   
Sampling  | 81     | 1        | 4        | 154112   | N/A    | 1     | -93.43   
Computing | 81     | 1        | 4        | 154112   | N/A    | 1     | -93.43   
Sampling  | 81     | 1        | 4        | 154368   | N/A    | 5     | -90.69   
Computing | 81     | 1        | 4        | 154368   | N/A    | 5     | -90.69   
Sampling  | 81     | 1        | 4        | 154624   | N/A    | 3     | -84.60   
Computing | 81     | 1        | 4        | 154624   | N/A    | 3     | -84.60   
Sampling  | 81     | 1        | 4        | 154880   | N/A    | 7     | -81.81   
Computing | 81     | 1        | 4        | 154880   | N/A    | 7     | -81.81   
Sampling  | 81     | 1        | 4        | 155136   | N/A    | 5     | -78.21   
Computing | 81     | 1        | 4        | 155136   | N/A    | 5     | -78.21   
Sampling  | 81     | 1        | 4        | 155392   | N/A    | 38    | -76.12   
Computing | 81     | 1        | 4        | 155392   | N/A    | 38    | -76.12   
Sampling  | 81     | 1        | 4        | 155648   | N/A    | 47    | -73.83   
Computing | 81     | 1        | 4        | 155648   | N/A    | 47    | -73.83   
Sampling  | 81     | 1        | 4        | 155904   | N/A    | 87    | -71.71   
Computing | 81     | 1        | 4        | 155904   | N/A    | 87    | -71.71   
Sampling  | 81     | 1        | 4        | 156160   | N/A    | 86    | -69.91   
Computing | 81     | 1        | 4        | 156160   | N/A    | 86    | -69.91   
Sampling  | 81     | 1        | 4        | 156416   | N/A    | 172   | -68.57   
Computing | 81     | 1        | 4        | 156416   | N/A    | 172   | -68.57   
Sampling  | 81     | 1        | 4        | 156672   | N/A    | 290   | -67.50   
Computing | 81     | 1        | 4        | 156672   | N/A    | 290   | -67.50   
Sampling  | 81     | 1        | 4        | 156928   | N/A    | 329   | -66.42   
Computing | 81     | 1        | 4        | 156928   | N/A    | 329   | -66.42   
Sampling  | 81     | 1        | 4        | 157184   | N/A    | 433   | -65.61   
Computing | 81     | 1        | 4        | 157184   | N/A    | 433   | -65.61   
Sampling  | 81     | 1        | 4        | 157440   | N/A    | 558   | -64.98   
Computing | 81     | 1        | 4        | 157440   | N/A    | 558   | -64.98   
Sampling  | 81     | 1        | 4        | 157696   | N/A    | 715   | -64.51   
Computing | 81     | 1        | 4        | 157696   | N/A    | 715   | -64.51   
Sampling  | 81     | 1        | 4        | 157952   | N/A    | 913   | -64.14   
Computing | 81     | 1        | 4        | 157952   | N/A    | 913   | -64.14   
Sampling  | 81     | 1        | 4        | 158208   | N/A    | 1125  | -63.87   
Computing | 81     | 1        | 4        | 158208   | N/A    | 1125  | -63.87   
Sampling  | 81     | 1        | 4        | 158464   | N/A    | 1362  | -63.67   
Computing | 81     | 1        | 4        | 158464   | N/A    | 1362  | -63.67   
Sampling  | 81     | 1        | 4        | 158720   | N/A    | 1596  | -63.54   
Computing | 81     | 1        | 4        | 158720   | N/A    | 1596  | -63.54   
Sampling  | 81     | 1        | 4        | 158976   | N/A    | 1806  | -63.45   
Computing | 81     | 1        | 4        | 158976   | N/A    | 1806  | -63.45   
Sampling  | 81     | 1        | 4        | 159232   | N/A    | 1979  | -63.39   
Computing | 81     | 1        | 4        | 159232   | N/A    | 1979  | -63.39   
Sampling  | 81     | 1        | 4        | 159488   | N/A    | 2119  | -63.35   
Computing | 81     | 1        | 4        | 159488   | N/A    | 2119  | -63.35   
Sampling  | 81     | 1        | 4        | 159744   | N/A    | 2217  | -63.33   
Computing | 81     | 1        | 4        | 159744   | N/A    | 2217  | -63.33   
Sampling  | 81     | 1        | 4        | 160000   | N/A    | 2273  | -63.31   
Computing | 81     | 1        | 4        | 160000   | N/A    | 2273  | -63.31   
Sampling  | 81     | 1        | 4        | 160256   | N/A    | 2346  | -63.30   
Computing | 81     | 1        | 4        | 160256   | N/A    | 2346  | -63.30   
Sampling  | 81     | 1        | 4        | 160512   | N/A    | 2594  | -63.30   
Computing | 81     | 1        | 4        | 160512   | N/A    | 2594  | -63.30   
Sampling  | 81     | 1        | 4        | 160768   | N/A    | 2887  | -63.30   
Computing | 81     | 1        | 4        | 160768   | N/A    | 2887  | -63.30   
Sampling  | 81     | 1        | 4        | 161024   | N/A    | 3189  | -63.29   
Computing | 81     | 1        | 4        | 161024   | N/A    | 3189  | -63.29   
Sampling  | 81     | 1        | 4        | 161280   | N/A    | 3531  | -63.29   
Computing | 81     | 1        | 4        | 161280   | N/A    | 3531  | -63.29   
Sampling  | 81     | 1        | 4        | 161536   | N/A    | 3791  | -63.29   
Computing | 81     | 1        | 4        | 161536   | N/A    | 3791  | -63.29   
Sampling  | 81     | 1        | 4        | 161792   | N/A    | 4077  | -63.29   
Computing | 81     | 1        | 4        | 161792   | N/A    | 4077  | -63.29   
Sampling  | 81     | 1        | 4        | 162048   | N/A    | 4262  | -63.29   
Computing | 81     | 1        | 4        | 162048   | N/A    | 4262  | -63.29   
Sampling  | 81     | 1        | 4        | 162304   | N/A    | 4510  | -63.28   
Computing | 81     | 1        | 4        | 162304   | N/A    | 4510  | -63.28   
Sampling  | 81     | 1        | 4        | 162560   | N/A    | 4787  | -63.28   
Computing | 81     | 1        | 4        | 162560   | N/A    | 4787  | -63.28   
Finished  | 81     | 1        | 4        | 162816   | N/A    | 5072  | -63.28   
/global/u2/c/carolazn/CuGal_Emu_project_mcmc/CubicGalileonForecasts.py:538: DeprecationWarning: The function 'evidence' is deprecated. Please use the property 'log_z', instead.
  log_z = sampler.evidence()
Time taken for srun: 8130 seconds
