
Lmod is automatically replacing "cray-mpich/9.0.1" with "cray-mpich-abi/9.0.1".

Running forecast for file: python CubicGalileonForecasts.py ./ini_files/config_run_ell3000_k0p3.yaml
Number of models loaded: 50 from: /global/homes/c/carolazn/CubicGalileonEmu/CubicGalileonEmu/model/
4.182345109176885e-05
Horndeski functions initialized.
Reading cosmo file to get the parameters of the data vector...
(265275, 10)
(705, 705)
(300,)
ex_inds= [15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 55, 56, 57, 58, 59, 75, 76, 77, 78, 79, 95, 96, 97, 98, 99, 115, 116, 117, 118, 119, 135, 136, 137, 138, 139, 155, 156, 157, 158, 159, 175, 176, 177, 178, 179, 195, 196, 197, 198, 199, 215, 216, 217, 218, 219, 235, 236, 237, 238, 239, 255, 256, 257, 258, 259, 275, 276, 277, 278, 279, 295, 296, 297, 298, 299, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 411, 412, 413, 414, 415, 416, 417, 418, 419, 431, 432, 433, 434, 435, 436, 437, 438, 439, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 491, 492, 493, 494, 495, 496, 497, 498, 499, 512, 513, 514, 515, 516, 517, 518, 519, 532, 533, 534, 535, 536, 537, 538, 539]
Running MCMC...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Computing | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Sampling  | 1      | 0        | 0        | 256      | 1.0000 | 1     | -590255.8
Computing | 1      | 0        | 0        | 256      | 1.0000 | 1     | -590255.8
Sampling  | 1      | 0        | 0        | 512      | 1.0000 | 1     | -587326.9
Computing | 1      | 0        | 0        | 512      | 1.0000 | 1     | -587326.9
Sampling  | 1      | 0        | 0        | 768      | 1.0000 | 1     | -587327.3
Computing | 1      | 0        | 0        | 768      | 1.0000 | 1     | -587327.3
Sampling  | 1      | 0        | 0        | 1024     | 1.0000 | 1     | -587327.6
Computing | 1      | 0        | 0        | 1024     | 1.0000 | 1     | -587327.6
Sampling  | 1      | 0        | 0        | 1280     | 1.0000 | 1     | -587327.8
Computing | 1      | 0        | 0        | 1280     | 1.0000 | 1     | -587327.8
Sampling  | 1      | 0        | 0        | 1536     | 1.0000 | 1     | -587328.0
Computing | 1      | 0        | 0        | 1536     | 1.0000 | 1     | -587328.0
Sampling  | 1      | 0        | 0        | 1792     | 1.0000 | 1     | -587328.2
Computing | 1      | 0        | 0        | 1792     | 1.0000 | 1     | -587328.2
Sampling  | 2      | 0        | 4        | 7680     | 1.0000 | 1     | -322243.7
Computing | 2      | 0        | 4        | 7680     | 1.0000 | 1     | -322243.7
Sampling  | 2      | 0        | 4        | 7936     | 1.0000 | 1     | -322243.7
Computing | 2      | 0        | 4        | 7936     | 1.0000 | 1     | -322243.7
Sampling  | 2      | 0        | 4        | 8192     | 1.0000 | 1     | -322243.8
Computing | 2      | 0        | 4        | 8192     | 1.0000 | 1     | -322243.8
Sampling  | 2      | 0        | 4        | 8448     | 1.0000 | 1     | -322243.8
Computing | 2      | 0        | 4        | 8448     | 1.0000 | 1     | -322243.8
Sampling  | 2      | 0        | 4        | 8704     | 1.0000 | 1     | -322243.9
Computing | 2      | 0        | 4        | 8704     | 1.0000 | 1     | -322243.9
Sampling  | 2      | 0        | 4        | 8960     | 1.0000 | 1     | -322243.9
Computing | 2      | 0        | 4        | 8960     | 1.0000 | 1     | -322243.9
Bounding  | 2      | 0        | 4        | 9216     | 1.0000 | 1     | -322244.0
Sampling  | 3      | 0        | 4        | 9216     | 1.0000 | 1     | -6371444.
Computing | 3      | 0        | 4        | 9216     | 1.0000 | 1     | -6371444.
Sampling  | 3      | 0        | 4        | 9472     | 1.0000 | 1     | -322244.1
Computing | 3      | 0        | 4        | 9472     | 1.0000 | 1     | -322244.1
Sampling  | 3      | 0        | 4        | 9728     | 1.0000 | 1     | -322244.2
Computing | 3      | 0        | 4        | 9728     | 1.0000 | 1     | -322244.2
Sampling  | 3      | 0        | 4        | 9984     | 1.0000 | 1     | -322244.2
Computing | 3      | 0        | 4        | 9984     | 1.0000 | 1     | -322244.2
Sampling  | 3      | 0        | 4        | 10240    | 1.0000 | 1     | -322244.3
Computing | 3      | 0        | 4        | 10240    | 1.0000 | 1     | -322244.3
Sampling  | 3      | 0        | 4        | 10496    | 1.0000 | 1     | -312748.0
Computing | 3      | 0        | 4        | 10496    | 1.0000 | 1     | -312748.0
Sampling  | 3      | 0        | 4        | 10752    | 1.0000 | 1     | -312748.0
Computing | 3      | 0        | 4        | 10752    | 1.0000 | 1     | -312748.0
Sampling  | 3      | 0        | 4        | 11008    | 1.0000 | 1     | -312748.1
Computing | 3      | 0        | 4        | 11008    | 1.0000 | 1     | -312748.1
Sampling  | 3      | 0        | 4        | 11264    | 1.0000 | 1     | -312748.2
Computing | 3      | 0        | 4        | 11264    | 1.0000 | 1     | -312748.2
Sampling  | 3      | 0        | 4        | 11520    | 1.0000 | 1     | -245809.3
Computing | 3      | 0        | 4        | 11520    | 1.0000 | 1     | -245809.3
Sampling  | 3      | 0        | 4        | 11776    | 1.0000 | 1     | -245809.3
Computing | 3      | 0        | 4        | 11776    | 1.0000 | 1     | -245809.3
Sampling  | 3      | 0        | 4        | 12032    | 1.0000 | 1     | -245809.4
Computing | 3      | 0        | 4        | 12032    | 1.0000 | 1     | -245809.4
Sampling  | 3      | 0        | 4        | 12288    | 1.0000 | 1     | -245809.4
Computing | 3      | 0        | 4        | 12288    | 1.0000 | 1     | -245809.4
Bounding  | 3      | 0        | 4        | 12544    | 1.0000 | 1     | -245809.5
Sampling  | 4      | 0        | 4        | 12544    | 1.0000 | 1     | -4577354.
Computing | 4      | 0        | 4        | 12544    | 1.0000 | 1     | -4577354.
Sampling  | 4      | 0        | 4        | 12800    | 1.0000 | 1     | -245809.5
Computing | 4      | 0        | 4        | 12800    | 1.0000 | 1     | -245809.5
Sampling  | 4      | 0        | 4        | 13056    | 1.0000 | 1     | -245809.6
Computing | 4      | 0        | 4        | 13056    | 1.0000 | 1     | -245809.6
Sampling  | 4      | 0        | 4        | 13312    | 1.0000 | 1     | -175773.8
Computing | 4      | 0        | 4        | 13312    | 1.0000 | 1     | -175773.8
Sampling  | 4      | 0        | 4        | 13568    | 1.0000 | 1     | -175773.8
Computing | 4      | 0        | 4        | 13568    | 1.0000 | 1     | -175773.8
Sampling  | 4      | 0        | 4        | 13824    | 1.0000 | 1     | -175773.9
Computing | 4      | 0        | 4        | 13824    | 1.0000 | 1     | -175773.9
Sampling  | 4      | 0        | 4        | 14080    | 1.0000 | 1     | -175773.9
Computing | 4      | 0        | 4        | 14080    | 1.0000 | 1     | -175773.9
Sampling  | 4      | 0        | 4        | 14336    | 1.0000 | 1     | -175774.0
Computing | 4      | 0        | 4        | 14336    | 1.0000 | 1     | -175774.0
Sampling  | 4      | 0        | 4        | 14592    | 1.0000 | 1     | -175774.0
Computing | 4      | 0        | 4        | 14592    | 1.0000 | 1     | -175774.0
Sampling  | 4      | 0        | 4        | 14848    | 1.0000 | 1     | -175774.1
Computing | 4      | 0        | 4        | 14848    | 1.0000 | 1     | -175774.1
